id,name,meaning,gender,origin,PeoplesCount,WhenPeoplesCount,Source
28434,abeque,Stays at home (Chippewa),Female,Native American,10,04.07.2016 13:50:00,myData.biz
28435,aberfa,from the mouth of the river ABERTHA,Female,Welsh,7,04.07.2016 13:50:07,myData.biz
28436,aberthol,sacrifice AB-OWEN,Male,Welsh,4,04.07.2016 13:50:15,myData.biz
28437,aberto,Italian form of Albert (noble),Male,Italian,2000,04.07.2016 13:50:23,myData.biz
28438,abetzi,Omaha name meaning &quot; yellow leaf.&quot;,Female,Native,7,04.07.2016 13:50:31,myData.biz
28439,abey,Omaha name meaning &quot; leaf.&quot;,Female,Native,5000,04.07.2016 13:50:39,myData.biz
28440,abeytu,Omaha name meaning &quot; green leaf.&quot;,Female,Native,7,04.07.2016 13:50:48,myData.biz
28441,abhainn,River,Male,Scottish,44,04.07.2016 13:50:56,myData.biz
28442,"abhainn, aibne","river ACAIR, AKIR, ACAISEID",Male,Scottish,0,04.07.2016 13:51:03,myData.biz
28443,abhaya,has no fear,Male,Indian,1000,04.07.2016 13:51:11,myData.biz
28444,abhimanyu,myth name (killed by Lakshmana),Male,Indian,9000,04.07.2016 13:51:19,myData.biz
28445,abhirati,"myth name (mother of five hundred children, a mother goddess)",Female,Indian,4,04.07.2016 13:51:27,myData.biz
28446,abhy,Gives joy,Female,Hebrew,1000,04.07.2016 13:51:36,myData.biz
28447,abia,Great,Female,Arabic,11000,04.07.2016 13:51:43,myData.biz
28448,abiageal,"Irish form of Abigail (brings joy) ADARA, ATHDARA",Female,Irish,8,04.07.2016 13:51:52,myData.biz
28449,abiageal,Irish form of Abigail brings joy,Female,Irish,8,04.07.2016 13:51:59,myData.biz
28450,abiah,my father is the Lord,Male,Hebrew,185,04.07.2016 13:52:08,myData.biz
28451,abichail,Gives joy,Female,Hebrew,9,04.07.2016 13:52:15,myData.biz
28452,abida,&quot;She who worships&quot;; also a Hebrew name meaning &quot;my father knows.&quot;,Female,Arabic,3000,04.07.2016 13:52:23,myData.biz
28453,abida,God knows,Male,Hebrew,3000,04.07.2016 13:52:31,myData.biz
28454,abiel,my father is God,Male,Hebrew,2000,04.07.2016 13:52:41,myData.biz
28455,abigail,"&quot;Father rejoices.&quot;Some variants include Abagail, Abaigeal, Abbey, Abbie, and Abby. Diminutive, Gail, also exists.",Female,Hebrew,129000,04.07.2016 13:52:47,myData.biz
28456,abigail,Gives joy: My father rejoices. Biblical: the name of King David's third wife described as good in discretion and beautiful in form.,Female,Hebrew,129000,04.07.2016 13:52:55,myData.biz
28457,abigall,"""Fathers joy. Alternate Spellings: Abegale, Abgail, Abigale.""",Female,Hebrew,12,04.07.2016 13:53:04,myData.biz
28458,abijah,"&quot;God is my father.&quot; Variants include Abisha, and Abishah.",Female,Hebrew,433,04.07.2016 13:53:12,myData.biz
28459,abijah,the Lord is my father,Male,Hebrew,433,04.07.2016 13:53:20,myData.biz
28460,abimelech,Father is king,Male,Hebrew,110,04.07.2016 13:53:28,myData.biz
28461,abimelech,my father is king,Male,Hebrew,110,04.07.2016 13:53:36,myData.biz
28462,abir,"Arabic name meaning &quot;fragrant; scent.&quot;Variant, Abeer, exists.",Female,Arabic,17000,04.07.2016 13:53:43,myData.biz
28463,abir,Arabic: The fragrant one. Hebrew: Strong.,Male,"""arabic,hebrew""",17000,04.07.2016 13:53:51,myData.biz
28464,abir,Fragrant,Female,Arabic,17000,04.07.2016 13:53:59,myData.biz
28465,abir,Strong,Male,Hebrew,17000,04.07.2016 13:54:07,myData.biz
28466,abiram,Father of heights,Male,Hebrew,484,04.07.2016 13:54:17,myData.biz
28467,abisha,"gift of God.Variants include Abijah, and Abishai",Male,Hebrew,573,04.07.2016 13:54:23,myData.biz
28468,abisha,The Lord is my father,Male,Hebrew,573,04.07.2016 13:54:31,myData.biz
28469,abital,"&quot;My father is dew.&quot; Variant, Avital, exists.",Female,Hebrew,93,04.07.2016 13:54:40,myData.biz
28470,abjaja,born of a lotus,Male,Indian,0,04.07.2016 13:54:47,myData.biz
28471,ablah,perfectly formed,Female,Arabic,248,04.07.2016 13:54:56,myData.biz
28472,able,Exhalation of breath. The second son of Adam in the bible. The variant Able is used as an English surname.,Male,Hebrew,28000,04.07.2016 13:55:03,myData.biz
28473,ablendan,blind,Male,Anglo,2,04.07.2016 13:55:11,myData.biz
28474,ablendan,Blind,Male,Anglo-Saxon,2,04.07.2016 13:55:19,myData.biz
28475,abner,father of light,Male,Hebrew,19000,04.07.2016 13:55:27,myData.biz
28476,abner,Father of light. In the bible King Saul's cousin and commander of his army. Abner was a valiant warrior and clever strategist.,Male,Hebrew,19000,04.07.2016 13:55:35,myData.biz
28477,abooksigun,Algonquin name meaning &quot; wildcat.&quot;,Male,Native,10,04.07.2016 13:55:43,myData.biz
28478,abooksigun,Wildcat (Algonquin),Male,Native American,10,04.07.2016 13:55:51,myData.biz
28479,abra,"&quot;Example; lesson.&quot;Also a Hebrew name meaning &quot;parent of many.&quot;Variants include Abame, Abarrane, and Abrahana.",Female,Arabic,11000,04.07.2016 13:55:59,myData.biz
28480,abra,"&quot;Parent of many.&quot;Also an Arabic name meaning &quot;example; lesson.&quot;Variants include Abame, Abarrane, and Abrahana.",Female,Hebrew,11000,04.07.2016 13:56:07,myData.biz
28481,abra,Lesson,Female,Arabic,11000,04.07.2016 13:56:15,myData.biz
28482,abra,Mother of many,Female,Hebrew,11000,04.07.2016 13:56:23,myData.biz
28483,abracham,Irish form of Abraham,Male,Irish,63,04.07.2016 13:56:32,myData.biz
28484,abracomas,name of a governor; meaning unknown,Male,Aramaic,0,04.07.2016 13:56:39,myData.biz
28485,abrafo,Ghanaian name meaning &quot;warrior&quot; or &quot;executioner.&quot;It is a nickname for a troublemaker or someone who is hyper.,Male,African,21,04.07.2016 13:56:49,myData.biz
28486,abraha,meaning unknown,Male,Arabic,1000,04.07.2016 13:56:55,myData.biz
28487,abraham,"father of a multitude.Variants include Avraham, Aram, Abarron, and Avidor",Male,Hebrew,228000,04.07.2016 13:57:03,myData.biz
28488,abraham,Meaniing Father of a multitude Abraham the first of the Old Testament patriarchs. God changed it from Abram when He appointed him to be the father of the Hebrew nation.,Male,Hebrew,228000,04.07.2016 13:57:11,myData.biz
28489,abram,Exalted father. The biblical patriarch Abraham's name before God changed it.,Male,Hebrew,18000,04.07.2016 13:57:19,myData.biz
28490,abram,"He who is high is father.Variants include Abe, Abey, Abie, Abramo, Avram, Avrom and Bram",Male,Hebrew,18000,04.07.2016 13:57:27,myData.biz
28491,abramo,Father of a multitude,Male,Hebrew,3000,04.07.2016 13:57:35,myData.biz
28492,abramo,Italian form of Abraham (father of many),Male,Italian,3000,04.07.2016 13:57:44,myData.biz
28493,abran,Variant of Abram meaning Exalted father.,Male,Spanish,2000,04.07.2016 13:57:51,myData.biz
28494,abrecan,storm,Male,Anglo,16,04.07.2016 13:58:00,myData.biz
28495,abrecan,Storm,Male,Anglo-Saxon,16,04.07.2016 13:58:07,myData.biz
